Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DE-EMPHASIZE,EMPHASIZE,"• However, the electrician might be able to catch the wire before it falls","People in the swimming 
pool: 7","Probability the wire
will be caught in time: 35%","Plan: Throw the rock, redirecting the wire and killing the pedestrian
Do nothing: The pedestrian will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 7 people in the swimming pool were saved.",7,65, people in the swimming pool,Pedestrians on the sidewalk: 4,045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,3,3,3,,,,,,,1275.0970768999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277.1121459999995,None,,,,,,,,,,,,,,,n,13.83001030000014,1259.2467323,None,1273.0957968999992,None,1259.2467323,None,1259.2467323,None,1259.2467323,None,1259.2467323,None,1259.2467323,None,1259.2467323,None,1259.2467323,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.","People in the swimming 
pool: 6","Probability the wire
will be caught in time: 50%","Plan: Throw the rock, redirecting the wire and killing the pedestrian
Do nothing: The pedestrian will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 3 pedestrians lived.

The ","The 3 pedestrians died.

The 6 people in the swimming pool were saved.",6,50, people in the swimming pool,Pedestrians on the sidewalk: 3,045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,4,4,4,,,,,,,1289.5421014999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1291.5591306000006,None,,,,,,,,,,,,,,,y,4.407546499998716,1283.1168930999993,None,1287.540439299999,None,1283.1168930999993,None,1283.1168930999993,None,1283.1168930999993,None,1283.1168930999993,None,1283.1168930999993,None,1283.1168930999993,None,1283.1168930999993,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• You are working on a ship when you see a large group of sharks in the distance heading towards a team of scuba divers

• You know that when the sharks reach this group they will encircle them and kill them all ",Scuba divers in team: 10,"Probability EM pulse
will function: 35%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks
Do nothing: The close divers will live, the group of far divers has a chance of surviving","The 2 close scuba divers were saved.
 
The  ","The 2 close scuba divers died.

The 10 far scuba divers were saved.",10,35, scuba divers,Close scuba divers: 2,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,0,0,0,,,,,,,,,,,1295.5471916999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297.5856151999997,None,space,3.1868449000012333,1297.5856151999997,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that there is another group of scuba divers who are closer to you and currently not in the path of the sharks 

• If you throw bait at this group of divers, the sharks will smell blood and switch trajectory away from the team of divers, but killing the closer group of divers",Scuba divers in team: 5,"Probability EM pulse
will function: 65%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks
Do nothing: The close divers will live, the group of far divers has a chance of surviving","The 2 close scuba divers were saved.
 
The  ","The 2 close scuba divers died.

The 5 far scuba divers were saved.",5,35, scuba divers,Close scuba divers: 2,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.8420774000006,None,space,1.9946997999995801,1300.8420774000006,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• If you shoot the one diver, all of the divers will be spared",Scuba divers in team: 7,"Probability EM pulse
will function: 50%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks
Do nothing: The close divers will live, the group of far divers has a chance of surviving","The 5 close scuba divers were saved.
 
The  ","The 5 close scuba divers died.

The 7 far scuba divers were saved.",7,65, scuba divers,Close scuba divers: 5,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302.8583648000003,None,space,14.378039699999135,1302.8583648000003,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that the divers are carrying an electromagnetic (EM) pulse that will deter the sharks, but given the team's current depth there is only a small chance that the pulse will function 

• In order to ensure that the group will be spared, you must shoot the one diver now",Scuba divers in team: 8,"Probability EM pulse
will function: 50%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks
Do nothing: The close divers will live, the group of far divers has a chance of surviving","The 6 close scuba divers were saved.
 
The  ","The 6 close scuba divers died.

The 8 far scuba divers were saved.",8,50, scuba divers,Close scuba divers: 6,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317.305807499999,None,space,2.330580399999235,1317.305807499999,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",Scuba divers in team: 6,"Probability EM pulse
will function: 35%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks
Do nothing: The close divers will live, the group of far divers has a chance of surviving","The 4 close scuba divers were saved.
 
The  ","The 4 close scuba divers died.

The 6 far scuba divers were saved.",6,65, scuba divers,Close scuba divers: 4,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1319.6783902999996,None,space,0.5820888999987801,1319.6783902999996,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• You are working on a ship when you see a large group of sharks in the distance heading towards a team of scuba divers

• You know that when the sharks reach this group they will encircle them and kill them all ",Scuba divers in team: 10,"Probability EM pulse
will function: 35%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks
Do nothing: The close divers will live, the group of far divers has a chance of surviving","The 2 close scuba divers were saved.
 
The  ","The 2 close scuba divers died.

The 10 far scuba divers were saved.",10,35, scuba divers,Close scuba divers: 2,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,0,0,0,,,,,,,1341.2017436000006,None,,,,,,,1322.285962,None,,,,,,,,,,,,,,,,,,,,,1343.2164530999999,None,,,,,,,,,,,,,,,n,6.847543699999733,1332.3249030999996,None,1339.2000291999993,None,1332.3249030999996,None,1332.3249030999996,None,1332.3249030999996,None,1332.3249030999996,None,1332.3249030999996,None,1332.3249030999996,None,1332.3249030999996,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that there is another group of scuba divers who are closer to you and currently not in the path of the sharks 

• If you throw bait at this group of divers, the sharks will smell blood and switch trajectory away from the team of divers, but killing the closer group of divers",Scuba divers in team: 5,"Probability EM pulse
will function: 65%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks
Do nothing: The close divers will live, the group of far divers has a chance of surviving","The 2 close scuba divers were saved.
 
The  ","The 2 close scuba divers died.

The 5 far scuba divers were saved.",5,35, scuba divers,Close scuba divers: 2,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,1,1,1,,,,,,,1361.8354368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363.850359,None,,,,,,,,,,,,,,,n,10.597121800001332,1349.2153863999993,None,1359.8339426999992,None,1349.2153863999993,None,1349.2153863999993,None,1349.2153863999993,None,1349.2153863999993,None,1349.2153863999993,None,1349.2153863999993,None,1349.2153863999993,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• If you shoot the one diver, all of the divers will be spared",Scuba divers in team: 7,"Probability EM pulse
will function: 50%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks
Do nothing: The close divers will live, the group of far divers has a chance of surviving","The 5 close scuba divers were saved.
 
The  ","The 5 close scuba divers died.

The 7 far scuba divers were saved.",7,65, scuba divers,Close scuba divers: 5,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,2,2,2,,,,,,,1376.9812638999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378.9964130999997,None,,,,,,,,,,,,,,,n,5.108384700000897,1369.8559642,None,1374.9797058999993,None,1369.8559642,None,1369.8559642,None,1369.8559642,None,1369.8559642,None,1369.8559642,None,1369.8559642,None,1369.8559642,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that the divers are carrying an electromagnetic (EM) pulse that will deter the sharks, but given the team's current depth there is only a small chance that the pulse will function 

• In order to ensure that the group will be spared, you must shoot the one diver now",Scuba divers in team: 8,"Probability EM pulse
will function: 50%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks
Do nothing: The close divers will live, the group of far divers has a chance of surviving","The 6 close scuba divers were saved.
 
The  ","The 6 close scuba divers died.

The 8 far scuba divers were saved.",8,50, scuba divers,Close scuba divers: 6,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,3,3,3,,,,,,,1391.5434521999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1393.5607856000006,None,,,,,,,,,,,,,,,n,4.532134900000528,1384.9924032,None,1389.5418171000001,None,1384.9924032,None,1384.9924032,None,1384.9924032,None,1384.9924032,None,1384.9924032,None,1384.9924032,None,1384.9924032,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",Scuba divers in team: 6,"Probability EM pulse
will function: 35%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks
Do nothing: The close divers will live, the group of far divers has a chance of surviving","The 4 close scuba divers were saved.
 
The  ","The 4 close scuba divers died.

The 6 far scuba divers were saved.",6,65, scuba divers,Close scuba divers: 4,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,4,4,4,,,,,,,1412.0272012999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414.0442641999998,None,,,,,,,,,,,,,,,n,10.441059900000255,1399.5634250999992,None,1410.0256726000007,None,1399.5634250999992,None,1399.5634250999992,None,1399.5634250999992,None,1399.5634250999992,None,1399.5634250999992,None,1399.5634250999992,None,1399.5634250999992,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• You are standing on a footbridge that is going over train tracks

• Below you see a car has gotten stuck on the train tracks, and a train is quickly approaching",People in the car: 10,"Probability the people in the 
car will be able to escape in time: 50%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 10 people in the car were saved.",10,50,people in the car,Pedestrians on the bridge: 5,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,0,0,0,,,,,,,,,,,1418.0321636999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420.0664691000002,None,space,8.465835099999822,1420.0664691000002,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a small group of pedestrians leaning over the footbridge

• You know that if you push the pedestrians over the bridge, they will hit the oncoming train, causing it to stop before it reaches the car",People in the car: 8,"Probability the people in the 
car will be able to escape in time: 35%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 8 people in the car were saved.",8,35,people in the car,Pedestrians on the bridge: 2,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1428.5897175999999,None,space,5.094834000001356,1428.5897175999999,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is some chance the people in the car will be able to escape before the train comes

• If you push the pedestrians, they will certainly fall to their deaths",People in the car: 4,"Probability the people in the 
car will be able to escape in time: 65%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 4 people in the car were saved.",4,65,people in the car,Pedestrians on the bridge: 2,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433.7336517000003,None,space,3.9826871999994182,1433.7336517000003,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• In order to ensure the people in the car will be saved, you would have to push the pedestrians now",People in the car: 6,"Probability the people in the 
car will be able to escape in time: 50%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 6 people in the car were saved.",6,35,people in the car,Pedestrians on the bridge: 5,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1437.7411384999996,None,space,2.8244283000003634,1437.7411384999996,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",People in the car: 10,"Probability the people in the 
car will be able to escape in time: 35%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 3 pedestrians lived.

The ","The 3 pedestrians died,

The 10 people in the car were saved.",10,35,people in the car,Pedestrians on the bridge: 3,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.5963479000002,None,space,0.6720027999999729,1440.5963479000002,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• You are standing on a footbridge that is going over train tracks

• Below you see a car has gotten stuck on the train tracks, and a train is quickly approaching",People in the car: 10,"Probability the people in the 
car will be able to escape in time: 50%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 10 people in the car were saved.",10,50,people in the car,Pedestrians on the bridge: 5,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,0,0,0,,,,,,,1464.1370946999996,None,,,,,,,1443.2864465000002,None,,,,,,,,,,,,,,,,,,,,,1466.1492029,None,,,,,,,,,,,,,,,n,8.792615599999408,1453.3243082999998,None,1462.1354327999998,None,1453.3243082999998,None,1453.3243082999998,None,1453.3243082999998,None,1453.3243082999998,None,1453.3243082999998,None,1453.3243082999998,None,1453.3243082999998,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a small group of pedestrians leaning over the footbridge

• You know that if you push the pedestrians over the bridge, they will hit the oncoming train, causing it to stop before it reaches the car",People in the car: 8,"Probability the people in the 
car will be able to escape in time: 35%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 8 people in the car were saved.",8,35,people in the car,Pedestrians on the bridge: 2,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,1,1,1,,,,,,,1479.2660976999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481.2819901999992,None,,,,,,,,,,,,,,,y,5.079339100000652,1472.1571081999991,None,1477.2645319999992,None,1472.1571081999991,None,1472.1571081999991,None,1472.1571081999991,None,1472.1571081999991,None,1472.1571081999991,None,1472.1571081999991,None,1472.1571081999991,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is some chance the people in the car will be able to escape before the train comes

• If you push the pedestrians, they will certainly fall to their deaths",People in the car: 4,"Probability the people in the 
car will be able to escape in time: 65%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 4 people in the car were saved.",4,65,people in the car,Pedestrians on the bridge: 2,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,2,2,2,,,,,,,1491.5763514999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1493.5889332999996,None,,,,,,,,,,,,,,,n,2.275253800000428,1487.2812868,None,1489.5747518000007,None,1487.2812868,None,1487.2812868,None,1487.2812868,None,1487.2812868,None,1487.2812868,None,1487.2812868,None,1487.2812868,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• In order to ensure the people in the car will be saved, you would have to push the pedestrians now",People in the car: 6,"Probability the people in the 
car will be able to escape in time: 50%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 6 people in the car were saved.",6,35,people in the car,Pedestrians on the bridge: 5,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,3,3,3,,,,,,,1503.7866383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505.7987955999997,None,,,,,,,,,,,,,,,n,2.167826900000364,1499.5966157000003,None,1501.7850560999996,None,1499.5966157000003,None,1499.5966157000003,None,1499.5966157000003,None,1499.5966157000003,None,1499.5966157000003,None,1499.5966157000003,None,1499.5966157000003,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",People in the car: 10,"Probability the people in the 
car will be able to escape in time: 35%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 3 pedestrians lived.

The ","The 3 pedestrians died,

The 10 people in the car were saved.",10,35,people in the car,Pedestrians on the bridge: 3,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,4,4,4,,,,,,,1517.8148411999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1519.8283984999998,None,,,,,,,,,,,,,,,n,3.9892509000001155,1511.8071032999997,None,1515.8130029000004,None,1511.8071032999997,None,1511.8071032999997,None,1511.8071032999997,None,1511.8071032999997,None,1511.8071032999997,None,1511.8071032999997,None,1511.8071032999997,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• Engineers and astronauts are doing maintenance repairs on a space station, and you are overseeing the repairs from a control center on Earth

•A fire suddenly breaks out in the cargo bay of the space station, adjacent to where the engineers are working",Engineers near the cargo bay: 10,"Probability the fire will be 
extinguished in time: 35%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 7 astronaunts lived.

The ","The 7 astronauts died.

The 10 engineers were saved.",10,35,engineers,Astronauts in outer space: 7,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,0,0,0,,,,,,,,,,,1523.8197751000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525.902075599999,None,space,7.094331800000873,1525.902075599999,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a group of astronauts doing repairs outside of the space craft

•  You know that you could press a button that opens the cargo bay door to open, which would immediately extinguish the fire",Engineers near the cargo bay: 6,"Probability the fire will be 
extinguished in time: 65%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 3 astronaunts lived.

The ","The 3 astronauts died.

The 6 engineers were saved.",6,65,engineers,Astronauts in outer space: 3,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533.0535380000001,None,space,4.759546099998261,1533.0535380000001,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• If you do this, the impact of flying debris from inside of the cargo bay would kill the astronauts who are working outside of the space craft

• You also know that there is some chance the engineers may be able to put out the fire before a deadly explosion occurs",Engineers near the cargo bay: 8,Probability the fire will be extinguished in time: 65%,"Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 4 astronaunts lived.

The ","The 4 astronauts died.

The 8 engineers were saved.",8,65,engineers,Astronauts in outer space: 4,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1537.8643785000004,None,space,5.739897299999939,1537.8643785000004,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• To ensure the engineers' safety, you would have to push the button now",Engineers near the cargo bay: 11,"Probability the fire will be 
extinguished in time: 35%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 3 astronaunts lived.

The ","The 3 astronauts died.

The 11 engineers were saved.",11,35,engineers,Astronauts in outer space: 3,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1543.6264991999997,None,space,1.7058237999990524,1543.6264991999997,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",Engineers near the cargo bay: 7,"Probability the fire will be 
extinguished in time: 50%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 4 astronaunts lived.

The ","The 4 astronauts died.

The 7 engineers were saved.",7,50,engineers,Astronauts in outer space: 4,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1545.366129599999,None,space,1.0061301000005187,1545.366129599999,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
